trap,replacement notes,year,province,onekm,H_annulatus,H_leptocephalus,H_mesillae,H_carinata,M_campanulae,M_inermis,M_lapponica,M_mendica,M_inimica,M_frugalis,M_centuncularis,M_brevis,M_rotundata,M_relativa,M_pugnata,O_lignaria,O_pumila,O_tersula,O_albiventris,O_georgica,I_mexicana,A_antilope,A_spinolae,E_foraminatus,S_canadensis,S_cristatus
12,and136,2016,EBF,CarverPRopen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,and334,2017,EBF,EagleBluffELC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,2,1,1,0
234,and332,2017,EBF,BecklinCP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
276,and331,2017,EBF,FrenchRP,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
404,and538,2018,EBF,BakerPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0
446,and540,2018,LMF,"Gr.Marais,Hwy44x45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,4,0,0,1,0
447,and536,2018,EBF,"St.Paul,USt.Thomas",0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,"and539 6 relativa, ~8 carinata",2018,LMF,"Grasston,PokegamaLkRd",0,0,0,10,0,0,0,0,0,0,0,0,0,14,2,0,0,1,0,0,0,0,0,0,0,0
492,and537,2018,PP,FeltonPrairieSNA,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
121,and135,2016,EBF,BruceVentoNS,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,none,2016,EBF,Larpenteur/Hamline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,2,0
3,none,2016,EBF,CarverPR-LNC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
4,none,2016,EBF,HylandLakePR-RNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0
5,none,2016,EBF,GaleWoodsFarm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,none,2016,EBF,CarverPRwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
7,none,2016,EBF,BakerPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,none,2016,EBF,BakerPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0
10,none,2016,EBF,ElmCreekPRopen,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,none,2016,EBF,NoerenbergGar.,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,none,2016,EBF,LandingMNRiverHer.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
14,none,2016,EBF,Crow-HassanPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
15,none,2016,EBF,LakeRebeccaPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,none,2016,EBF,ElmCreekPR-ENCEAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0
17,none,2016,EBF,MurphyHanrehanPR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
18,none,2016,EBF,CoonRapidsDamRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0
19,none,2016,EBF,SilverwoodP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,none,2016,EBF,Crow-HassanPR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
21,none,2016,EBF,LakeRebeccaPR,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,none,2016,EBF,TamarackNCother,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,none,2016,PP,PrairieEcologyBusCenter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
29,none,2016,LMF,MNNativeLandscapes,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,none,2016,PP,LacquiParleSPnorth,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0
31,none,2016,EBF,SavageCmP-McCollPdELC,0,0,0,6,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
32,none,2016,PP,SofMankato,0,0,0,4,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,9,0,0,1,0,0
33,none,2016,EBF,WestwoodHillsNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,none,2016,EBF,SherburneSWCD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,none,2016,PP,"Mankato,KodiakLnx586Ln",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
36,none,2016,EBF,OakdaleNPrsv.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,none,2016,PP,AlternativeRootsFarm,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40,none,2016,EBF,EagleBluffELC,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0
41,none,2016,EBF,MSchmidtCrawfordWdsSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
42,none,2016,EBF,FairbaultRiverBendNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,none,2016,LMF,HappyDancingTurtle,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
44,none,2016,EBF,QuarryHillParkNC,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45,none,2016,EBF,WarnerNC,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46,none,2016,EBF,PrairieMoonNursery,0,1,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
47,none,2016,PP,DLWMD-43AveN/280StN,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,none,2016,PP,DLWMD-240st/hwy59,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
49,none,2016,EBF,AndersonCP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
50,none,2016,EBF,BecklinCP,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,7,0,0,0
51,none,2016,PP,RunestoneCPn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,none,2016,EBF,LakeBrophyCP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,none,2016,EBF,EastBethel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,none,2016,EBF,CarlosAveryWMA-Zodiac,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
55,none,2016,PP,PrairieWoodsELC,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
57,none,2016,EBF,CarletonCollMcNightP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,none,2016,EBF,BlanketFlowerPrairieSNA,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,none,2016,LMF,DeepPortageLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0
61,none,2016,LMF,BWCAFarmLake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
63,none,2016,PP,JeralSWMA,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,none,2016,PP,BirchCouleeBattlefield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0
65,none,2016,EBF,ZumbroFallsWoodsSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,0
66,none,2016,EBF,HastingsSandCouleeSNA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
67,none,2016,PP,HamdenSloughNWR/250th,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,none,2016,LMF,LittleTooMuchLakeSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
70,none,2016,EBF,LakeNokomisP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
72,none,2016,EBF,ChimneyRockSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
73,none,2016,LMF,BoltuckRiceForeverWildSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,none,2016,LMF,LostLakePeatlandSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,none,2016,PP,BlueDevilValleySNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
76,none,2016,LMF,BoulderLakeELC,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
77,none,2016,EBF,HelenAllisonSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,none,2016,EBF,WoodRillSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,none,2016,EBF,W.St.Paul-DodgeNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
80,none,2016,LMF,RedLakePeatlandSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
81,none,2016,EBF,GreyCloudDunesSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
82,none,2016,EBF,MiesvilleRavinePR,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,none,2016,LMF,PurvisLake-OberSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,none,2016,EBF,ClearLakeSNA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,none,2016,PP,SibleySP,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0
86,none,2016,LMF,ThreeIslandLakeCPnorth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0
87,none,2016,LMF,MelvilleMazeRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,none,2016,EBF,StOlafColl.,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,none,2016,EBF,StCroixSavannaSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90,none,2016,EBF,ChamberlainWoodsSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
91,none,2016,EBF,WolsfeldWoodsSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,none,2016,PP,RoscoePrairieSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,none,2016,PP,FeltonPrairieSNAsouth,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0
94,none,2016,EBF,BlainePreserveSNA,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0
95,none,2016,EBF,QuarryParkSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
96,none,2016,LMF,SpragueCreekPeatlandSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,none,2016,EBF,UncasDunesSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,none,2016,EBF,StOlafUPrRemStanton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
102,none,2016,LMF,RognlienMemorialP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,none,2016,EBF,SpruceHill-BigSpruceSWMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,none,2016,PP,PrairieWoodsELC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
106,none,2016,LMF,WolfRidgeELCFarm,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
107,none,2016,LMF,RoundRiverFarm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,none,2016,EBF,CarltonArbTrail,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0
109,none,2016,EBF,SavageFenSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,none,2016,EBF,SpringCreekPrairieSNA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0
111,none,2016,EBF,N.MississippiRP,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,none,2016,EBF,hwy47/GreenValleyRd,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,none,2016,PP,"Comfrey,WoodLakeSWMA",0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,none,2016,PP,JudsonTreeFarm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,none,2016,EBF,LebanonHillsRP,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
116,none,2016,EBF,SpringLakeRP,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0
117,none,2016,EBF,LebanonHillsRP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
118,none,2016,EBF,MiesvilleRavinePR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0
119,none,2016,EBF,Cedarlake,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
120,none,2016,EBF,MNValleyNWR-VC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,12,0,0,0,0,0
123,none,2016,EBF,RiceLakeSavannaSNA,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,none,2016,EBF,BelwinConsv.,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,2,0,0,0,0,0,0,0,1,0
126,none,2016,PP,BeaverFallsCP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,none,2016,PP,CampTownP-MackLake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,none,2016,PP,SkalbekkenCP,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,none,2016,EBF,CrepeauNPrsv.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
25,none,2017,EBF,CedarCreekESR,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
200,none,2017,LMF,FondDuLacTribalComCols,0,0,0,1,0,2,0,0,0,0,0,0,0,8,0,1,0,1,0,0,0,0,0,0,3,0
201,none,2017,LMF,LostRiverSF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,none,2017,EBF,"ParkersPrairie,LakeMaryn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0
204,none,2017,LMF,WolfRidgeELC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
205,none,2017,LMF,LittleTooMuchLakeSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0
206,none,2017,EBF,SpringCreekPrairieSNA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0
208,none,2017,PP,UlenStateWMA,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
209,none,2017,EBF,ChamberlainWoodsSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,0
210,none,2017,PP,FeltonPrairieSNA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
211,none,2017,EBF,ClearLakeSNA,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,none,2017,EBF,QuarryParkSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,none,2017,PP,JudsonTreeFarm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,none,2017,PP,SofMankato,0,0,0,1,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,2,0,1,1,0,0
215,none,2017,LMF,OrganicConsumersAssoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
217,none,2017,PP,"Tansem,Rollag",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,none,2017,EBF,SavageCmP-McCollPdELC,0,0,0,4,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,7,0,0,0,0,0
219,none,2017,EBF,CarlosAveryWMA-Zodiac,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0
220,none,2017,LMF,MississippiHeadwatersNF-HH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,none,2017,EBF,LakeRachel,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
222,none,2017,LMF,ThreeIslandLakeCPsouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0
223,none,2017,EBF,"Ashby,LakeChristina",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
224,none,2017,EBF,EastBethel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
225,none,2017,EBF,SherburneSWCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,none,2017,EBF,UncasDunesSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,none,2017,EBF,CherokeeRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
228,none,2017,TAP,LakeBronson,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
229,none,2017,PP,AlternativeRootsFarm,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
230,none,2017,PP,NewLondon-S SchNA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
232,none,2017,LMF,MississippiHeadwatersNF-BD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,none,2017,LMF,"Bemidji,229Ave.xTreeBarkDr.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0
235,none,2017,EBF,AndersonCP,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0
236,none,2017,LMF,"Duluth,MacFarlaneRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
237,none,2017,EBF,MNValleyNWR-VC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
238,none,2017,EBF,HardwoodCreekWMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
239,none,2017,LMF,"Taft,Fredenberg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
240,none,2017,EBF,"Medina,MooneyLake",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
241,none,2017,EBF,LakeNokomisP,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,none,2017,EBF,WestwoodHillsNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,3,0,0,3,0
243,none,2017,PP,PrairieWoodsELC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
244,none,2017,EBF,"Dassel, 240St.x726Ave.",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,none,2017,EBF,ArdenHillsIslandBeachClub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,none,2017,EBF,QuarryHillParkNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,none,2017,LMF,"Saginaw,CanosiaRdxPineRv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0
248,none,2017,EBF,PrairieMoonNursery,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
249,none,2017,EBF,"PriorLake,JeffersPonds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
250,none,2017,PP,PrairieEcologyBusCenter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
251,none,2017,PP,"Mankato,KodiakLnx586Ln",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
252,none,2017,LMF,BWCAFarmLake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5
253,none,2017,EBF,AndersonCP,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
254,none,2017,PP,LaqQuiParleSP,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
