dummy	route	year	routename	ecoprov	openwater	developed	barren	forested	shrub	grasslands	crops	wetlands
1	3	2017	Hartland	Broadleaf	0.024850195	0.05793031	0.000168421	0.008592829	0	0.038310606	0.84249921	0.027648428
2	3	2018	Hartland	Broadleaf	0.024850195	0.05793031	0.000168421	0.008592829	0	0.038310606	0.84249921	0.027648428
3	3	2019	Hartland	Broadleaf	0.024850195	0.05793031	0.000168421	0.008592829	0	0.038310606	0.84249921	0.027648428
4	3	2020	Hartland	Broadleaf	0.024850195	0.05793031	0.000168421	0.008592829	0	0.038310606	0.84249921	0.027648428
5	7	2017	Millville	Broadleaf	0.007709251	0.030065807	1.70E-05	0.489934648	0.004976253	0.156305851	0.214962777	0.096028393
6	8	2017	Lakeville	Broadleaf	0.018320647	0.291789129	0.009034282	0.072158634	0.001081495	0.12122976	0.459195012	0.027191041
7	8	2018	Lakeville	Broadleaf	0.018320647	0.291789129	0.009034282	0.072158634	0.001081495	0.12122976	0.459195012	0.027191041
8	8	2019	Lakeville	Broadleaf	0.018320647	0.291789129	0.009034282	0.072158634	0.001081495	0.12122976	0.459195012	0.027191041
9	8	2020	Lakeville	Broadleaf	0.018320647	0.291789129	0.009034282	0.072158634	0.001081495	0.12122976	0.459195012	0.027191041
10	9	2016	Minnetonka	Broadleaf	0.037658031	0.146002595	0.00041722	0.142769881	0.003839988	0.252181984	0.274415783	0.142714519
11	9	2017	Minnetonka	Broadleaf	0.037658031	0.146002595	0.00041722	0.142769881	0.003839988	0.252181984	0.274415783	0.142714519
12	9	2018	Minnetonka	Broadleaf	0.037658031	0.146002595	0.00041722	0.142769881	0.003839988	0.252181984	0.274415783	0.142714519
13	9	2019	Minnetonka	Broadleaf	0.037658031	0.146002595	0.00041722	0.142769881	0.003839988	0.252181984	0.274415783	0.142714519
14	10	2017	Arlington	Broadleaf	0.001372851	0.054683633	0.000396246	0.034317892	0.00071852	0.019088229	0.864298556	0.025124073
15	10	2020	Arlington	Broadleaf	0.001372851	0.054683633	0.000396246	0.034317892	0.00071852	0.019088229	0.864298556	0.025124073
16	11	2017	Courtland	Prairie	0.038768356	0.050719416	0.005378337	0.085074381	1.20E-05	0.028686326	0.698491808	0.092869347
17	11	2018	Courtland	Prairie	0.038768356	0.050719416	0.005378337	0.085074381	1.20E-05	0.028686326	0.698491808	0.092869347
18	11	2019	Courtland	Prairie	0.038768356	0.050719416	0.005378337	0.085074381	1.20E-05	0.028686326	0.698491808	0.092869347
19	15	2017	Princeton	Broadleaf	0.006002028	0.088136959	0.001290871	0.118751604	0.000283437	0.125592548	0.510320556	0.149621998
20	15	2018	Princeton	Broadleaf	0.006002028	0.088136959	0.001290871	0.118751604	0.000283437	0.125592548	0.510320556	0.149621998
21	15	2019	Princeton	Broadleaf	0.006002028	0.088136959	0.001290871	0.118751604	0.000283437	0.125592548	0.510320556	0.149621998
22	15	2020	Princeton	Broadleaf	0.006002028	0.088136959	0.001290871	0.118751604	0.000283437	0.125592548	0.510320556	0.149621998
23	16	2017	Osseo	Broadleaf	0.056171533	0.076691027	0.001167233	0.156763707	0.001798981	0.197902104	0.342156644	0.167348771
24	16	2018	Osseo	Broadleaf	0.056171533	0.076691027	0.001167233	0.156763707	0.001798981	0.197902104	0.342156644	0.167348771
25	16	2019	Osseo	Broadleaf	0.056171533	0.076691027	0.001167233	0.156763707	0.001798981	0.197902104	0.342156644	0.167348771
26	16	2020	Osseo	Broadleaf	0.056171533	0.076691027	0.001167233	0.156763707	0.001798981	0.197902104	0.342156644	0.167348771
27	17	2016	Knapp	Prairie	0.059482724	0.099564016	0.003471999	0.044805604	0.001999038	0.103408418	0.579748686	0.107519514
28	17	2017	Knapp	Prairie	0.059482724	0.099564016	0.003471999	0.044805604	0.001999038	0.103408418	0.579748686	0.107519514
29	17	2019	Knapp	Prairie	0.059482724	0.099564016	0.003471999	0.044805604	0.001999038	0.103408418	0.579748686	0.107519514
30	18	2019	StStephen	Broadleaf	0.053010046	0.116615611	0.002049944	0.150623696	0.000357672	0.149172048	0.402924312	0.125246671
31	18	2020	StStephen	Broadleaf	0.053010046	0.116615611	0.002049944	0.150623696	0.000357672	0.149172048	0.402924312	0.125246671
32	22	2016	Cromwell	Laurentian	0.031397407	0.025714921	0.000383289	0.278891405	0.014595136	0.032351567	0.000235721	0.616430555
33	22	2017	Cromwell	Laurentian	0.031397407	0.025714921	0.000383289	0.278891405	0.014595136	0.032351567	0.000235721	0.616430555
34	22	2018	Cromwell	Laurentian	0.031397407	0.025714921	0.000383289	0.278891405	0.014595136	0.032351567	0.000235721	0.616430555
35	22	2019	Cromwell	Laurentian	0.031397407	0.025714921	0.000383289	0.278891405	0.014595136	0.032351567	0.000235721	0.616430555
36	23	2018	WigwamBay	Laurentian	0.005758313	0.051336831	0.001539497	0.30636935	0.000479037	0.160127725	0.00684914	0.467540107
37	25	2016	Backus	Laurentian	0.034080967	0.025874585	0.00012695	0.450730605	0.027673716	0.083884853	0.010746682	0.366881642
38	25	2019	Backus	Laurentian	0.034080967	0.025874585	0.00012695	0.450730605	0.027673716	0.083884853	0.010746682	0.366881642
39	26	2017	PineRiver	Laurentian	0.020532018	0.055858131	7.66E-05	0.34856829	0.019260364	0.197230839	0.045168201	0.313305537
40	26	2018	PineRiver	Laurentian	0.020532018	0.055858131	7.66E-05	0.34856829	0.019260364	0.197230839	0.045168201	0.313305537
41	26	2019	PineRiver	Laurentian	0.020532018	0.055858131	7.66E-05	0.34856829	0.019260364	0.197230839	0.045168201	0.313305537
42	26	2020	PineRiver	Laurentian	0.020532018	0.055858131	7.66E-05	0.34856829	0.019260364	0.197230839	0.045168201	0.313305537
43	30	2017	Tenney	Prairie	0.043091324	0.050488508	0.001575996	0.037480247	4.59E-05	0.128924992	0.702258137	0.036134885
44	32	2017	Lockport	Laurentian	0.033613438	0.018408113	0.000646959	0.621364163	0.001428151	0.062281403	0	0.262257774
45	32	2018	Lockport	Laurentian	0.033613438	0.018408113	0.000646959	0.621364163	0.001428151	0.062281403	0	0.262257774
46	34	2020	HartLake	Laurentian	0.041800297	0.030766143	0.002105609	0.419735189	0.090617078	0.029343204	9.31E-06	0.385623172
47	35	2020	Floodwood	Laurentian	0.000410775	0.025123377	2.00E-05	0.130639246	0.004735474	0.056324123	0.008603876	0.774143133
48	37	2016	Cohasset	Laurentian	0.11196903	0.021787842	0.000259346	0.229734446	0.009768898	0.04525257	0.004585723	0.576642145
49	44	2020	Wylie	Prairie	0.014194248	0.025351004	4.04E-05	0.008915292	0	0.000273952	0.841606149	0.109618954
50	46	2018	LittleFork	Laurentian	0.019569218	0.042142416	7.34E-05	0.191625179	0.012831699	0.05757464	0.003452793	0.672730658
51	46	2019	LittleFork	Laurentian	0.019569218	0.042142416	7.34E-05	0.191625179	0.012831699	0.05757464	0.003452793	0.672730658
52	46	2020	LittleFork	Laurentian	0.019569218	0.042142416	7.34E-05	0.191625179	0.012831699	0.05757464	0.003452793	0.672730658
53	55	2018	Austin	Broadleaf	0.001755844	0.056183702	0.000255351	0.014148771	3.94E-05	0.085057904	0.812427185	0.030131824
54	55	2019	Austin	Broadleaf	0.001755844	0.056183702	0.000255351	0.014148771	3.94E-05	0.085057904	0.812427185	0.030131824
55	55	2020	Austin	Broadleaf	0.001755844	0.056183702	0.000255351	0.014148771	3.94E-05	0.085057904	0.812427185	0.030131824
56	57	2018	Worthington	Prairie	0.053496489	0.044776661	0.000424212	0.008785855	0	0.039888157	0.813930097	0.038698529
57	58	2016	Frontenac	Broadleaf	0.013061124	0.059243503	0.002523567	0.2990377	0.000229878	0.200856641	0.410653679	0.014393908
58	58	2017	Frontenac	Broadleaf	0.013061124	0.059243503	0.002523567	0.2990377	0.000229878	0.200856641	0.410653679	0.014393908
59	58	2018	Frontenac	Broadleaf	0.013061124	0.059243503	0.002523567	0.2990377	0.000229878	0.200856641	0.410653679	0.014393908
60	58	2019	Frontenac	Broadleaf	0.013061124	0.059243503	0.002523567	0.2990377	0.000229878	0.200856641	0.410653679	0.014393908
61	58	2020	Frontenac	Broadleaf	0.013061124	0.059243503	0.002523567	0.2990377	0.000229878	0.200856641	0.410653679	0.014393908
62	59	2016	LeCenter	Broadleaf	0.035523253	0.056570382	0.000158821	0.044122262	0.000825439	0.101314123	0.687837251	0.07364847
63	59	2020	LeCenter	Broadleaf	0.035523253	0.056570382	0.000158821	0.044122262	0.000825439	0.101314123	0.687837251	0.07364847
64	60	2017	Franklin	Prairie	0.006835426	0.043729704	0.000613083	0.045101611	0.001047064	0.027129734	0.799265847	0.076277531
65	60	2020	Franklin	Prairie	0.006835426	0.043729704	0.000613083	0.045101611	0.001047064	0.027129734	0.799265847	0.076277531
66	67	2020	Mahtowa	Laurentian	0.017947827	0.029677125	0.000234729	0.366786523	0.007480301	0.108840021	0.001275526	0.467757948
67	69	2020	Brainerd	Laurentian	0.041912917	0.04280689	0.00109345	0.260380173	0.000771932	0.336111028	0.116169923	0.200753688
68	70	2017	Ashby	Laurentian	0.079557486	0.036582328	0.000286952	0.237559366	0.003187625	0.071438164	0.459297013	0.112091066
69	73	2017	Babbitt	Laurentian	0.046913624	0.032574091	0.001237076	0.335054353	0.09644312	0.025030917	2.91E-05	0.462717673
70	73	2019	Babbitt	Laurentian	0.046913624	0.032574091	0.001237076	0.335054353	0.09644312	0.025030917	2.91E-05	0.462717673
71	74	2018	Bigfork	Laurentian	0.072297192	0.030725401	0	0.43605939	0.007584758	0.019992332	0.000369083	0.432971844
72	74	2019	Bigfork	Laurentian	0.072297192	0.030725401	0	0.43605939	0.007584758	0.019992332	0.000369083	0.432971844
