"","year","RouteNumber","qty","routename","ecoprov"
"1",2016,9,62,"Minnetonka","Broadleaf"
"2",2016,25,77,"Backus","Laurentian"
"3",2016,58,77,"Frontenac","Broadleaf"
"4",2016,59,54,"LeCenter","Broadleaf"
"5",2016,139,140,"CassLake","Laurentian"
"6",2016,400,105,"Elysian","Broadleaf"
"7",2016,900,76,"SherburneNr","Broadleaf"
"8",2017,7,68,"Millville","Broadleaf"
"9",2017,9,54,"Minnetonka","Broadleaf"
"10",2017,10,7,"Arlington","Broadleaf"
"11",2017,11,8,"Courtland","Prairie"
"12",2017,15,83,"Princeton","Broadleaf"
"13",2017,16,38,"Osseo","Broadleaf"
"14",2017,17,100,"Knapp","Prairie"
"15",2017,22,90,"Cromwell","Laurentian"
"16",2017,26,68,"PineRiver","Laurentian"
"17",2017,58,81,"Frontenac","Broadleaf"
"18",2017,70,18,"Ashby","Laurentian"
"19",2017,73,74,"Babbitt","Laurentian"
"20",2017,139,128,"CassLake","Laurentian"
"21",2017,153,39,"Caledonia","Broadleaf"
"22",2017,400,110,"Elysian","Broadleaf"
"23",2017,902,167,"TamaracNwr","Laurentian"
"24",2018,3,20,"Hartland","Broadleaf"
"25",2018,15,73,"Princeton","Broadleaf"
"26",2018,16,33,"Osseo","Broadleaf"
"27",2018,22,56,"Cromwell","Laurentian"
"28",2018,26,36,"PineRiver","Laurentian"
"29",2018,46,78,"LittleFork","Laurentian"
"30",2018,55,36,"Austin","Broadleaf"
"31",2018,57,14,"Worthington","Prairie"
"32",2018,58,79,"Frontenac","Broadleaf"
"33",2018,74,158,"Bigfork","Laurentian"
"34",2018,75,212,"Blackduck","Laurentian"
"35",2018,102,32,"Chatfield","Broadleaf"
"36",2018,139,87,"CassLake","Laurentian"
"37",2018,400,130,"Elysian","Broadleaf"
"38",2018,402,53,"Stillwater","Broadleaf"
"39",2018,403,200,"ElkRiver","Broadleaf"
"40",2018,900,175,"SherburneNr","Broadleaf"
"41",2019,3,21,"Hartland","Broadleaf"
"42",2019,8,337,"Lakeville","Broadleaf"
"43",2019,9,83,"Minnetonka","Broadleaf"
"44",2019,11,52,"Courtland","Prairie"
"45",2019,15,74,"Princeton","Broadleaf"
"46",2019,16,17,"Osseo","Broadleaf"
"47",2019,17,22,"Knapp","Prairie"
"48",2019,18,86,"StStephen","Broadleaf"
"49",2019,22,195,"Cromwell","Laurentian"
"50",2019,26,73,"PineRiver","Laurentian"
"51",2019,46,73,"LittleFork","Laurentian"
"52",2019,55,49,"Austin","Broadleaf"
"53",2019,58,90,"Frontenac","Broadleaf"
"54",2019,73,56,"Babbitt","Laurentian"
"55",2019,74,239,"Bigfork","Laurentian"
"56",2019,139,90,"CassLake","Laurentian"
"57",2019,400,130,"Elysian","Broadleaf"
"58",2019,404,245,"Bloomington","Broadleaf"
"59",2019,405,352,"DeerRiver","Broadleaf"
"60",2020,3,44,"Hartland","Broadleaf"
"61",2020,8,209,"Lakeville","Broadleaf"
"62",2020,10,38,"Arlington","Broadleaf"
"63",2020,15,85,"Princeton","Broadleaf"
"64",2020,16,23,"Osseo","Broadleaf"
"65",2020,18,61,"StStephen","Broadleaf"
"66",2020,26,88,"PineRiver","Laurentian"
"67",2020,34,82,"HartLake","Laurentian"
"68",2020,35,72,"Floodwood","Laurentian"
"69",2020,46,65,"LittleFork","Laurentian"
"70",2020,55,84,"Austin","Broadleaf"
"71",2020,58,67,"Frontenac","Broadleaf"
"72",2020,59,62,"LeCenter","Broadleaf"
"73",2020,60,9,"Franklin","Prairie"
"74",2020,69,124,"Brainerd","Laurentian"
"75",2020,74,294,"Bigfork","Laurentian"
"76",2020,139,98,"CassLake","Laurentian"
"77",2020,140,18,"Nebish","Laurentian"
"78",2020,403,162,"ElkRiver","Broadleaf"
"79",2020,405,212,"DeerRiver","Broadleaf"
