"","route","years","ecoprov","lat","long","routename","developed","forest","grassland","crops","wetland","water"
"1",3,4,"Broadleaf",43.820515,-93.284159,"Hartland",0.044773919,0.012289127,0.009752754,0.891110306,0.022553522,0.019286627
"2",3,4,"Broadleaf",43.820515,-93.284159,"Hartland",0.044773919,0.012289127,0.009752754,0.891110306,0.022553522,0.019286627
"3",3,4,"Broadleaf",43.820515,-93.284159,"Hartland",0.044773919,0.012289127,0.009752754,0.891110306,0.022553522,0.019286627
"4",3,4,"Broadleaf",43.820515,-93.284159,"Hartland",0.044773919,0.012289127,0.009752754,0.891110306,0.022553522,0.019286627
"5",7,1,"Broadleaf",44.15894,-92.01843,"Millville",0.039248318,0.204983582,0.056503094,0.622779058,0.066767047,0.00898011
"6",8,4,"Broadleaf",44.653068,-93.290599,"Lakeville",0.25893227,0.062541514,0.008931746,0.609401408,0.040641388,0.014161756
"7",8,4,"Broadleaf",44.653068,-93.290599,"Lakeville",0.25893227,0.062541514,0.008931746,0.609401408,0.040641388,0.014161756
"8",8,4,"Broadleaf",44.653068,-93.290599,"Lakeville",0.25893227,0.062541514,0.008931746,0.609401408,0.040641388,0.014161756
"9",8,4,"Broadleaf",44.653068,-93.290599,"Lakeville",0.25893227,0.062541514,0.008931746,0.609401408,0.040641388,0.014161756
"10",9,4,"Broadleaf",44.99238,-93.867367,"Minnetonka",0.129429601,0.147130202,0.003759219,0.551646147,0.132292693,0.03523121
"11",9,4,"Broadleaf",44.99238,-93.867367,"Minnetonka",0.129429601,0.147130202,0.003759219,0.551646147,0.132292693,0.03523121
"12",9,4,"Broadleaf",44.99238,-93.867367,"Minnetonka",0.129429601,0.147130202,0.003759219,0.551646147,0.132292693,0.03523121
"13",9,4,"Broadleaf",44.99238,-93.867367,"Minnetonka",0.129429601,0.147130202,0.003759219,0.551646147,0.132292693,0.03523121
"14",10,2,"Broadleaf",44.6301,-94.0327,"Arlington",0.048010668,0.034662158,0.000411288,0.895157462,0.01840196,0.002933455
"15",10,2,"Broadleaf",44.6301,-94.0327,"Arlington",0.048010668,0.034662158,0.000411288,0.895157462,0.01840196,0.002933455
"16",11,3,"Prairie",44.26155,-94.636989,"Courtland",0.052270746,0.043106339,0.003374846,0.824185304,0.058082097,0.016452937
"17",11,3,"Prairie",44.26155,-94.636989,"Courtland",0.052270746,0.043106339,0.003374846,0.824185304,0.058082097,0.016452937
"18",11,3,"Prairie",44.26155,-94.636989,"Courtland",0.052270746,0.043106339,0.003374846,0.824185304,0.058082097,0.016452937
"19",15,4,"Broadleaf",45.57316,-93.49225,"Princeton",0.087596083,0.121658198,0.002688009,0.628714732,0.152740321,0.005393881
"20",15,4,"Broadleaf",45.57316,-93.49225,"Princeton",0.087596083,0.121658198,0.002688009,0.628714732,0.152740321,0.005393881
"21",15,4,"Broadleaf",45.57316,-93.49225,"Princeton",0.087596083,0.121658198,0.002688009,0.628714732,0.152740321,0.005393881
"22",15,4,"Broadleaf",45.57316,-93.49225,"Princeton",0.087596083,0.121658198,0.002688009,0.628714732,0.152740321,0.005393881
"23",16,4,"Broadleaf",45.136111,-93.7969444,"Osseo",0.098262901,0.136176335,0.006764123,0.613065981,0.072365308,0.072217762
"24",16,4,"Broadleaf",45.136111,-93.7969444,"Osseo",0.098262901,0.136176335,0.006764123,0.613065981,0.072365308,0.072217762
"25",16,4,"Broadleaf",45.136111,-93.7969444,"Osseo",0.098262901,0.136176335,0.006764123,0.613065981,0.072365308,0.072217762
"26",16,4,"Broadleaf",45.136111,-93.7969444,"Osseo",0.098262901,0.136176335,0.006764123,0.613065981,0.072365308,0.072217762
"27",17,3,"Prairie",45.133417,-94.508608,"Knapp",0.080355043,0.064746868,0.004382079,0.698797783,0.105823351,0.043069946
"28",17,3,"Prairie",45.133417,-94.508608,"Knapp",0.080355043,0.064746868,0.004382079,0.698797783,0.105823351,0.043069946
"29",17,3,"Prairie",45.133417,-94.508608,"Knapp",0.080355043,0.064746868,0.004382079,0.698797783,0.105823351,0.043069946
"30",18,2,"Broadleaf",45.459973,-94.325685,"StStephen",0.102650555,0.16026082,0.012483006,0.531126254,0.150641037,0.041223915
"31",18,2,"Broadleaf",45.459973,-94.325685,"StStephen",0.102650555,0.16026082,0.012483006,0.531126254,0.150641037,0.041223915
"32",22,4,"Laurentian",46.722195,-92.670958,"Cromwell",0.018617877,0.269568903,0.001387489,0.018498431,0.661470646,0.030333947
"33",22,4,"Laurentian",46.722195,-92.670958,"Cromwell",0.018617877,0.269568903,0.001387489,0.018498431,0.661470646,0.030333947
"34",22,4,"Laurentian",46.722195,-92.670958,"Cromwell",0.018617877,0.269568903,0.001387489,0.018498431,0.661470646,0.030333947
"35",22,4,"Laurentian",46.722195,-92.670958,"Cromwell",0.018617877,0.269568903,0.001387489,0.018498431,0.661470646,0.030333947
"36",23,1,"Laurentian",46.0551,-93.7499,"WigwamBay",0.048053212,0.313491953,0.001765556,0.160849264,0.468749045,0.005676286
"37",25,2,"Laurentian",46.787777,-94.738333,"Backus",0.024334462,0.471111625,0.019584309,0.109288097,0.347107125,0.028423807
"38",25,2,"Laurentian",46.787777,-94.738333,"Backus",0.024334462,0.471111625,0.019584309,0.109288097,0.347107125,0.028423807
"39",26,4,"Laurentian",46.680548,-94.742745,"PineRiver",0.048675796,0.37830393,0.030669901,0.173772548,0.3478964,0.020354242
"40",26,4,"Laurentian",46.680548,-94.742745,"PineRiver",0.048675796,0.37830393,0.030669901,0.173772548,0.3478964,0.020354242
"41",26,4,"Laurentian",46.680548,-94.742745,"PineRiver",0.048675796,0.37830393,0.030669901,0.173772548,0.3478964,0.020354242
"42",26,4,"Laurentian",46.680548,-94.742745,"PineRiver",0.048675796,0.37830393,0.030669901,0.173772548,0.3478964,0.020354242
"43",30,1,"Prairie",46.449,-96.2335,"Tenney",0.034477245,0.007392473,0.000909558,0.835389145,0.112919199,0.008358014
"44",32,2,"Laurentian",47.648611,-90.848611,"Lockport",0.01761553,0.643244373,0.062813314,0,0.252322355,0.023521641
"45",32,2,"Laurentian",47.648611,-90.848611,"Lockport",0.01761553,0.643244373,0.062813314,0,0.252322355,0.023521641
"46",34,1,"Laurentian",47.200278,-91.703888,"HartLake",0.029595067,0.479585624,0.027349566,6.01e-05,0.405538729,0.056812755
"47",35,1,"Laurentian",47.061328,-92.969578,"Floodwood",0.019229031,0.144436294,0.003893024,0.048900002,0.783255328,0.000274159
"48",37,1,"Laurentian",47.3934417,-93.7846952,"Cohasset",0.035355533,0.32690156,0.011387632,0.067556571,0.36420462,0.194206105
"49",44,1,"Prairie",47.935278,-96.309722,"Wylie",0.050297341,0.011149979,0.001699189,0.762558375,0.15637221,0.017875988
"50",46,3,"Laurentian",48.3081601,-93.7334409,"LittleFork",0.019518355,0.157197448,0.021478207,0.012423634,0.775834521,0.009478057
"51",46,3,"Laurentian",48.3081601,-93.7334409,"LittleFork",0.019518355,0.157197448,0.021478207,0.012423634,0.775834521,0.009478057
